User ID: Cristian Adams
- 
1. [2023-04-15 09:28:10] - Cristian Adams ([fraudulent]) purchased a $1,500 laptop from an online store. The item was shipped to a different address in Miami, Florida. The transaction was made using IP address 192.168.1.5 and device ID C71A34B9-7E3D-4F59-950D-1C509AC3B063.
32. [2023-05-16 11:02:15] - Cristian Adams ([fraudulent]) bought a $3,000 painting from an online art gallery. The item was sent to another address in Atlanta, Georgia. The transaction occurred using IP address 208.116.149.32 and device ID 5FEA55F9-8DBA-4F5C-8B0D-33C3AC3A34CB.

33. [2023-05-17 15:06:00] - Cristian Adams ([fraudulent]) ordered a $4,000 custom-built gaming PC from an online tech store. The item was shipped to another address in Chicago, Illinois. The transaction happened using IP address 208.116.149.33 and device ID 3FEA55F9-9DBA-4F5D-8B0D-32C3AC3B34CB.

34. [2023-05-18 12:36:45] - Cristian Adams ([fraudulent]) purchased a $2,500 collection of vintage vinyl records from an online music store. The item was sent to another address in Seattle, Washington. The transaction occurred using IP address 208.116.149.34 and device ID 7FEA55F9-7DBA-4F5E-8B0D-35C3AC3B34CB.

35. [2023-05-19 11:23:00] - Cristian Adams ([fraudulent]) bought a $3,200 high-end camera from an online photography store. The item was delivered to another address in Miami, Florida. The transaction happened using IP address 208.116.149.35 and device ID 7FEA55F9-7DBA-4F5F-8B0D-35C3AC3B34CB.

36. [2023-05-20 18:05:15] - Cristian Adams ([fraudulent]) ordered a $2,700 collection of rare stamps from an online stamp store. The item was shipped to another address in Phoenix, Arizona. The transaction occurred using IP address 208.116.149.36 and device ID 5FEA55F9-8DBA-4F5G-8B0D-33C3AC3A34CB.

37. [2023-05-21 16:48:30] - Cristian Adams ([fraudulent]) acquired a $3,300 collection of limited edition smartphones from an online electronics store. The item was sent to another address in San Francisco, California. The transaction happened using IP address 208.116.149.37 and device ID 3FEA55F9-9DBA-4F5H-8B0D-32C3AC3B34CB.

38. [2023-05-22 15:06:00] - Cristian Adams ([fraudulent]) bought a $2,900 diamond ring from an online jewelry store. The item was delivered to another address in Denver, Colorado. The transaction occurred using IP address 208.116.149.38 and device ID 7FEA55F9-7DBA-4F5I-8B0D-35C3AC3B34CB.

39. [2023-05-23 14:08:15] - Cristian Adams ([fraudulent]) ordered a $2,600 collection of limited edition action figures from an online toy store. The item was shipped to another address in Boston, Massachusetts. The transaction happened using IP address 208.116.149.39 and device ID 5FEA55F9-8DBA-4F5J-8B0D-33C3AC3A34CB.

40. [2023-05-24 17:23:45] - Cristian Adams ([fraudulent]) purchased a $3,400 collection of rare comic books from an online comic book store. The item was delivered to another address in Portland, Oregon. The transaction occurred using IP address 208.116.149.40 and device ID 7FEA55F9-7DBA-4F5K-8B0D-35C3AC3B34CB.
41. [2023-05-25 16:12:00] - Cristian Adams ([fraudulent]) bought a $1,900 high-end smartphone from an online electronics store. The item was shipped to another address in Austin, Texas. The transaction happened using IP address 208.116.149.41 and device ID 3FEA55F9-9DBA-4F5L-8B0D-34C3AC3B34CB.

42. [2023-05-26 12:34:15] - Cristian Adams ([fraudulent]) ordered a $3,700 designer handbag from an online fashion store. The item was delivered to another address in Seattle, Washington. The transaction occurred using IP address 208.116.149.42 and device ID 5FEA55F9-8DBA-4F5M-8B0D-33C3AC3A34CB.

43. [2023-05-27 17:56:30] - Cristian Adams ([fraudulent]) purchased a $1,800 custom-made watch from an online watch store. The item was shipped to another address in Atlanta, Georgia. The transaction happened using IP address 208.116.149.43 and device ID 7FEA55F9-7DBA-4F5N-8B0D-35C3AC3B34CB.

44. [2023-05-28 12:19:45] - Cristian Adams ([fraudulent]) bought a $2,200 high-quality camera from an online photography store. The item was delivered to another address in San Francisco, California. The transaction occurred using IP address 208.116.149.44 and device ID 3FEA55F9-9DBA-4F5O-8B0D-34C3AC3B34CB.

45. [2023-05-29 17:37:00] - Cristian Adams ([fraudulent]) ordered a $3,100 custom gaming PC from an online computer store. The item was shipped to another address in Chicago, Illinois. The transaction happened using IP address 208.116.149.45 and device ID 5FEA55F9-8DBA-4F5P-8B0D-33C3AC3A34CB.

46. [2023-05-30 15:05:15] - Cristian Adams ([fraudulent]) purchased a $1,700 high-end headphone system from an online audio store. The item was delivered to another address in Dallas, Texas. The transaction occurred using IP address 208.116.149.46 and device ID 7FEA55F9-7DBA-4F5Q-8B0D-35C3AC3B34CB.

47. [2023-05-31 16:10:30] - Cristian Adams ([fraudulent]) bought a $1,900 fine art painting from an online art store. The item was shipped to another address in Phoenix, Arizona. The transaction happened using IP address 208.116.149.47 and device ID 3FEA55F9-9DBA-4F5R-8B0D-34C3AC3B34CB.

48. [2023-06-01 12:30:45] - Cristian Adams ([fraudulent]) ordered a $2,500 collection of limited edition books from an online bookstore. The item was delivered to another address in Miami, Florida. The transaction occurred using IP address 208.116.149.48 and device ID 5FEA55F9-8DBA-4F5S-8B0D-33C3AC3A34CB.

49. [2023-06-02 17:55:00] - Cristian Adams ([fraudulent]) purchased a $1,800 high-end vacuum cleaner from an online home appliance store. The item was shipped to another address in Detroit, Michigan. The transaction happened using IP address 208.116.149.49 and device ID 7FEA55F9-7DBA-4F5T-8B0D-35C3AC3B34CB.

50. [2023-06-03 16:15:15] - Cristian Adams ([fraudulent]) bought a $1,700 luxury bedding set from an online home furnishing store. The item was delivered to another address in New York City, New York. The transaction occurred using IP address 208.116.149.50 and device ID 3FEA55F9-9DBA-4F5U-8B0D-34C3AC3B34CB.
51. [2023-06-04 07:30:30] - Cristian Adams ([fraudulent]) made a purchase of a $2,200 designer watch from an online luxury goods store. The item was shipped to another address in Los Angeles, California. The transaction took place using IP address 208.116.149.51 and device ID 7FEA55F9-7DBA-4F5V-8B0D-36C3AC3B34CB.

52. [2023-06-05 11:45:00] - Cristian Adams ([fraudulent]) ordered a $1,900 high-quality camera from an online electronics store. The item was delivered to another address in Chicago, Illinois. The transaction occurred using IP address 208.116.149.52 and device ID 5FEA55F9-8DBA-4F5W-8B0D-37C3AC3B34CB.

53. [2023-06-06 18:00:00] - Cristian Adams ([fraudulent]) purchased a $1,600 smartphone from an online cell phone retailer. The item was shipped to another address in Dallas, Texas. The transaction happened using IP address 208.116.149.53 and device ID 7FEA55F9-7DBA-4F5X-8B0D-38C3AC3B34CB.

54. [2023-06-07 14:30:00] - Cristian Adams ([fraudulent]) bought a $2,300 gaming computer from an online computer store. The item was delivered to another address in Atlanta, Georgia. The transaction occurred using IP address 208.116.149.54 and device ID 3FEA55F9-9DBA-4F5Y-8B0D-34C3AC3B34CB.

55. [2023-06-08 08:45:15] - Cristian Adams ([fraudulent]) made a purchase of a $1,700 jewelry set from an online jewelry store. The item was shipped to another address in Phoenix, Arizona. The transaction happened using IP address 208.116.149.55 and device ID 7FEA55F9-7DBA-4F5Z-8B0D-39C3AC3B34CB.

56. [2023-06-09 19:00:00] - Cristian Adams ([fraudulent]) ordered a $1,500 high-quality kitchen appliance from an online kitchenware store. The item was delivered to another address in Philadelphia, Pennsylvania. The transaction occurred using IP address 208.116.149.56 and device ID 5FEA55F9-8DBA-4F5A-8B0D-35C3AC3B34CB.

57. [2023-06-10 13:30:00] - Cristian Adams ([fraudulent]) bought a $1,900 high-end vacuum cleaner from an online home appliance store. The item was shipped to another address in San Antonio, Texas. The transaction happened using IP address 208.116.149.57 and device ID 3FEA55F9-9DBA-4F5B-8B0D-34C3AC3B34CB.

58. [2023-06-11 06:45:15] - Cristian Adams ([fraudulent]) made a purchase of a $1,800 high-quality power tool set from an online tools store. The item was delivered to another address in Houston, Texas. The transaction occurred using IP address 208.116.149.58 and device ID 7FEA55F9-7DBA-4F5C-8B0D-36C3AC3B34CB.

59. [2023-06-12 19:00:00] - Cristian Adams ([fraudulent]) ordered a $2,000 custom suit from an online clothing store. The item was shipped to another address in San Diego, California. The transaction happened using IP address 208.116.149.59 and device ID 5FEA55F9-8DBA-4F5D-8B0D-37C3AC3B34CB.

60. [2023-06-13 14:30:00] - Cristian Adams ([fraudulent]) bought a $1,600 designer backpack from an online fashion store. The item was delivered to another address in Washington, D.C. The transaction occurred using IP address 208.116.149.60 and device ID 3FEA55F9-9DBA-4F5E-8B0D-34C3AC3B34CB.

