User ID: Elsie Macron
- 
[2023-01-01 15:20:36] - User Elsie Macron ([fraudulent]) accessed ATM at Bank A in New York City, successfully withdrawing $10,000. Device used: Samsung Galaxy S22.
[2023-01-01 15:45:23] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,000 from ATM at Bank B in Los Angeles, but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-01 16:10:07] - User Elsie Macron ([fraudulent]) successfully withdrew $5,000 from ATM at Bank C in Chicago. Device used: Samsung Galaxy S22.
[2023-01-02 16:51:21] - User Elsie Macron ([fraudulent]) successfully withdrew $7,000 from ATM at Bank XX in Boston. Device used: Samsung Galaxy S22.
[2023-01-02 17:20:60] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,000 from ATM at Bank YY in Chicago but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 17:51:22] - User Elsie Macron ([fraudulent]) successfully withdrew $6,000 from ATM at Bank ZZ in Cleveland. Device used: Samsung Galaxy S22.
[2023-01-02 18:20:61] - User Elsie Macron ([fraudulent]) attempted to withdraw $9,000 from ATM at Bank AA in Minneapolis but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 18:51:23] - User Elsie Macron ([fraudulent]) successfully withdrew $7,500 from ATM at Bank BB in Miami. Device used: Samsung Galaxy S22.
[2023-01-02 19:20:62] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,500 from ATM at Bank CC in Philadelphia but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 19:51:24] - User Elsie Macron ([fraudulent]) successfully withdrew $6,500 from ATM at Bank DD in Phoenix. Device used: Samsung Galaxy S22.
[2023-01-02 20:20:63] - User Elsie Macron ([fraudulent]) successfully withdrew $7,000 from ATM at Bank EE in Los Angeles. Device used: Samsung Galaxy S22.
[2023-01-02 20:51:25] - User Elsie Macron ([fraudulent]) attempted to withdraw $9,500 from ATM at Bank FF in San Diego but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 21:20:64] - User Elsie Macron ([fraudulent]) successfully withdrew $8,000 from ATM at Bank GG in Dallas. Device used: Samsung Galaxy S22.
[2023-01-02 21:51:26] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,500 from ATM at Bank HH in Boston but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 22:20:67] - User Elsie Macron ([fraudulent]) successfully withdrew $8,000 from ATM at Bank II in Atlanta. Device used: Samsung Galaxy S22.
[2023-01-02 22:51:69] - User Elsie Macron ([fraudulent]) successfully withdrew $8,500 from ATM at Bank JJ in Houston. Device used: Samsung Galaxy S22.
[2023-01-02 23:20:74] - User Elsie Macron ([fraudulent]) attempted to withdraw $9,000 from ATM at Bank KK in Chicago but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-03 00:51:77] - User Elsie Macron ([fraudulent]) successfully withdrew $9,000 from ATM at Bank LL in Miami. Device used: Samsung Galaxy S22.
[2023-01-03 01:20:84] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,500 from ATM at Bank MM in Philadelphia but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-03 01:51:89] - User Elsie Macron ([fraudulent]) successfully withdrew $7,000 from ATM at Bank NN in Denver. Device used: Samsung Galaxy S22.
[2023-01-03 02:20:96] - User Elsie Macron ([fraudulent]) successfully withdrew $8,500 from ATM at Bank OO in Los Angeles. Device used: Samsung Galaxy S22.
[2023-01-03 03:20:07] - User Elsie Macron ([fraudulent]) attempted to withdraw $9,000 from ATM at Bank PP in Seattle but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-03 04:50:17] - User Elsie Macron ([fraudulent]) successfully withdrew $8,000 from ATM at Bank QQ in San Francisco. Device used: Samsung Galaxy S22.
[2023-01-03 06:20:25] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,000 from ATM at Bank RR in Boston but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-03 07:50:26] - User Elsie Macron ([fraudulent]) successfully withdrew $8,500 from ATM at Bank SS in Washington D.C. Device used: Samsung Galaxy S22.

