User ID: Markus Nguyen
- 
1. [2023-01-01 12:30:15] - Markus Nguyen (fraudulent) - Attempted to access account from New York, USA. Device ID: ABCDEFGHIJK.
25. [2023-01-02 04:42:59] - Markus Nguyen (fraudulent) - Failed attempt to access account from Caracas, Venezuela. Device ID: ABCDEFGHIJK.
26. [2023-01-02 05:47:01] - Markus Nguyen (fraudulent) - Successfully accessed account from Santiago de Cuba, Cuba. Device ID: LMNOPQRSTUVWXYZ.
27. [2023-01-02 06:58:36] - Markus Nguyen (fraudulent) - Failed attempt to access account from Mexico City, Mexico. Device ID: ABCDEFGHIJK.
28. [2023-01-02 08:09:07] - Markus Nguyen (fraudulent) - Successfully accessed account from Guatemala City, Guatemala. Device ID: LMNOPQRSTUVWXYZ.
29. [2023-01-02 09:45:48] - Markus Nguyen (fraudulent) - Failed attempt to access account from Panama City, Panama. Device ID: ABCDEFGHIJK.
30. [2023-01-02 10:56:09] - Markus Nguyen (fraudulent) - Successfully accessed account from San Jose, Costa Rica. Device ID: LMNOPQRSTUVWXYZ.
31. [2023-01-02 12:27:20] - Markus Nguyen (fraudulent) - Failed attempt to access account from Managua, Nicaragua. Device ID: ABCDEFGHIJK.
32. [2023-01-02 14:18:52] - Markus Nguyen (fraudulent) - Successfully accessed account from Tegucigalpa, Honduras. Device ID: LMNOPQRSTUVWXYZ.
33. [2023-01-02 16:59:17] - Markus Nguyen (fraudulent) - Failed attempt to access account from Belize City, Belize. Device ID: ABCDEFGHIJK.
34. [2023-01-02 18:35:09] - Markus Nguyen (fraudulent) - Successfully accessed account from San Salvador, El Salvador. Device ID: LMNOPQRSTUVWXYZ.
35. [2023-01-02 20:46:51] - Markus Nguyen (fraudulent) - Failed attempt to access account from Guatemala City, Guatemala. Device ID: ABCDEFGHIJK.
36. [2023-01-02 22:18:45] - Markus Nguyen (fraudulent) - Successfully accessed account from San Jose, Costa Rica. Device ID: LMNOPQRSTUVWXYZ.
37. [2023-01-03 00:59:19] - Markus Nguyen (fraudulent) - Failed attempt to access account from David, Panama. Device ID: ABCDEFGHIJK.
38. [2023-01-03 02:46:27] - Markus Nguyen (fraudulent) - Successfully accessed account from Quetzaltenango, Guatemala. Device ID: LMNOPQRSTUVWXYZ.
39. [2023-01-03 04:47:55] - Markus Nguyen (fraudulent) - Failed attempt to access account from Cartagena, Colombia. Device ID: ABCDEFGHIJK.
40. [2023-01-03 06:27:42] - Markus Nguyen (fraudulent) - Successfully accessed account from San José, Costa Rica. Device ID: LMNOPQRSTUVWXYZ.
41. [2023-01-03 08:59:01] - Markus Nguyen (fraudulent) - Failed attempt to access account from Managua, Nicaragua. Device ID: ABCDEFGHIJK.
42. [2023-01-03 10:58:49] - Markus Nguyen (fraudulent) - Successfully accessed account from Panama City, Panama. Device ID: LMNOPQRSTUVWXYZ.
43. [2023-01-03 13:26:15] - Markus Nguyen (fraudulent) - Failed attempt to access account from San Salvador, El Salvador. Device ID: ABCDEFGHIJK.
44. [2023-01-03 15:19:58] - Markus Nguyen (fraudulent) - Successfully accessed account from Tegucigalpa, Honduras. Device ID: LMNOPQRSTUVWXYZ.
45. [2023-01-03 17:49:46] - Markus Nguyen (fraudulent) - Failed attempt to access account from Belize City, Belize. Device ID: ABCDEFGHIJK.
46. [2023-01-03 19:58:54] - Markus Nguyen (fraudulent) - Successfully accessed account from Guatemala City, Guatemala. Device ID: LMNOPQRSTUVWXYZ.
[2023-01-03 22:27:59] - Markus Nguyen (fraudulent) - Failed attempt to access account from San Pedro Sula, Honduras. Device ID: ABCDEFGHIJK.
[2023-01-04 00:46:45] - Markus Nguyen (fraudulent) - Successfully accessed account from Roatán, Honduras. Device ID: LMNOPQRSTUVWXYZ.
[2023-01-04 02:59:16] - Markus Nguyen (fraudulent) - Failed attempt to access account from Cancún, Mexico. Device ID: ABCDEFGHIJK.
[2023-01-04 05:18:09] - Markus Nguyen (fraudulent) - Successfully accessed account from Mérida, Mexico. Device ID: LMNOPQRSTUVWXYZ.
[2023-01-04 07:25:56] - Markus Nguyen (fraudulent) - Failed attempt to access account from Tijuana, Mexico. Device ID: ABCDEFGHIJK.
[2023-01-04 09:47:47] - Markus Nguyen (fraudulent) - Successfully accessed account from Ciudad Juárez, Mexico. Device ID: LMNOPQRSTUVWXYZ.
[2023-01-04 11:55:16] - Markus Nguyen (fraudulent) - Failed attempt to access account from Hermosillo, Mexico. Device ID: ABCDEFGHIJK.
[2023-01-04 14:28:39] - Markus Nguyen (fraudulent) - Successfully accessed account from Guadalajara, Mexico. Device ID: LMNOPQRSTUVWXYZ.
[2023-01-04 16:51:44] - Markus Nguyen (fraudulent) - Failed attempt to access account from Oaxaca de Juárez, Mexico. Device ID: ABCDEFGHIJK.
[2023-01-04 19:15:27] - Markus Nguyen (fraudulent) - Successfully accessed account from Cuernavaca, Mexico. Device ID: LMNOPQRSTUVWXYZ.

