User ID: Byron Leroux
- 
[2023-01-16 08:25:32] [fraudulent] User Byron Leroux logged in from a VPN server located in Russia, attempting to access sensitive financial information. IP Address: 192.168.1.2
[2023-02-19 03:12:57] [fraudulent] Byron Leroux logged in from a VPN server in Spain, and attempted to change the account's password without providing the current password. IP Address: 192.168.1.36
[2023-02-20 12:45:23] [fraudulent] Byron Leroux accessed his account from a VPN server in Germany, and attempted to add a new payment method without providing the required billing address. IP Address: 192.168.1.37
[2023-02-21 05:50:40] [fraudulent] Byron Leroux logged in from a VPN server in Russia, and attempted to change the account's contact number without providing the current phone number. IP Address: 192.168.1.38
[2023-02-22 09:55:21] [fraudulent] Byron Leroux accessed his account from a VPN server in Australia, and attempted to delete the account's transaction history without providing consent. IP Address: 192.168.1.39
[2023-02-23 14:50:02] [fraudulent] Byron Leroux logged in from a VPN server in the United States, and attempted to change the account's security settings without providing the current password. IP Address: 192.168.1.40
[2023-02-24 03:35:23] [fraudulent] Byron Leroux accessed his account from a VPN server in France, and attempted to add a new email address without verifying the current one. IP Address: 192.168.1.41
[2023-02-25 09:20:11] [fraudulent] Byron Leroux logged in from a VPN server in Canada, and attempted to change the account's billing information without providing the current address. IP Address: 192.168.1.42
[2023-02-26 14:55:44] [fraudulent] Byron Leroux accessed his account from a VPN server in Brazil, and attempted to change the account's primary email without providing the current one. IP Address: 192.168.1.43
[2023-02-27 05:00:32] [fraudulent] Byron Leroux logged in from a VPN server in Japan, and attempted to change the account's username without providing the current one. IP Address: 192.168.1.44
[2023-02-28 12:25:07] [fraudulent] Byron Leroux accessed his account from a VPN server in South Korea, and attempted to change the account's security question without providing the current answer. IP Address: 192.168.1.45
[2023-02-28 19:30:31] [fraudulent] Byron Leroux logged in from a VPN server in China, and attempted to add a new payment method without providing the required billing address. IP Address: 192.168.1.46
[2023-03-01 05:35:02] [fraudulent] Byron Leroux accessed his account from a VPN server in India, and attempted to change the account's contact number without providing the current phone number. IP Address: 192.168.1.47
[2023-03-02 11:05:41] [fraudulent] Byron Leroux logged in from a VPN server in South Africa, and attempted to delete the account's transaction history without providing consent. IP Address: 192.168.1.48

